"Drum Machine","Duration","Equal Loudness","RMS","Temporal Centroid","Spectral Centroid","Spectral Centroid 1","Spectral Centroid 2","Spectral Kurtosis","Pitch Salience"
"EKO Rhythm Box","0.175600907029478","9.05085468292236","2.69469781325711","0.0905853062868118","725.709777832031","649.448120117188","3363.06225585938","1.36952197551727","0.930528819561005"
"EKO_MusicBox-12","0.304761904761905","2.1525862216949454","-8.842321732669495","0.1537219434976575","1963.319091796875","1640.93408203125","2935.783203125","1.30575168132782","0.7382523119449615"
"EKO_Ritmo20","0.308390022675737","14.219747543335","3.14978758743731","0.153025344014168","974.509216308594","776.079223632812","3667.23413085938","2.59060192108154","0.874966025352478"
"Electro Harmonix DRM-15","0.16072562358276649","6.4827258586883545","0.9297428465659605","0.08084046840667725","547.2569885253905","461.889907836914","3767.24853515625","3.154993891716005","0.9382162690162661"
"Electro Harmonix DRM-16","0.3095510204081632","3.22281551361084","-6.574202979163729","0.15385201126337064","2808.76708984375","2724.315307617188","3103.310644531248","3.4243934154510507","0.3501446455717088"
"Electro Harmonix DRM-32","0.30839002267573695","6.317521953582764","-1.48018465106609","0.15025892704725285","1012.3921630859375","965.9840209960945","3494.4999511718734","2.5602678060531625","0.7306832551956175"
"Electro Harmonix Drm15","0.123356009070295","2.64796495437622","-3.72270562818599","0.063776507973671","2017.83325195312","1733.25756835938","4648.43798828125","0.00448546418920159","0.701529681682587"
"Ensoniq Asr-x","0.37050971113082914","19.853825195975922","4.237401444524122","0.18455980685742013","2516.4839451002035","2252.4755859375","2589.342550526494","2.78092826967654","0.4090059192284294"
"Ensoniq EPS","0.41687074829931997","16.0627191066742","2.8392492245301346","0.20516613870859152","2863.6539916992224","2784.5393066406277","2790.3029785156223","2.6028370261192326","0.2313203029334545"
"Estradin_Pulsar","0.190113378684808","11.9183444976807","4.11454264953881","0.0988924726843834","1394.28405761719","1318.65075683594","1632.30285644531","1.10203731060028","0.854268550872803"
"Fairlight IIx","0.2900680272108845","16.043479283650722","4.377587259602509","0.14782176073640588","2556.6107177734375","2280.1191813151045","3342.6503092447933","2.5406460066636405","0.4755977640549342"
"Farfisa Rhythm Maker 16","0.26086167800453497","7.352855920791624","-0.36265250831748996","0.130476597696543","1540.5818481445299","1395.40856933594","3906.6600341796902","1.53854125738144","0.883018523454666"
"Forat_F-9000","0.18213151927437649","21.04898166656495","7.44443934835266","0.09399859607219704","1839.62200927734","1327.66070556641","2332.37353515625","1.0136910080909747","0.764580547809601"
"Fricke MFB 501","0.5043083900226758","4.68563747406006","-6.183147034192265","0.24210448935627926","1684.5001220703125","1469.0520629882799","6460.4808349609375","0.3025160282850268","0.7859299331903455"
"Fricke MFB 502","0.23437641723355998","2.7384846607844033","-6.753624255293943","0.122055700669686","3417.6809692382835","2983.83974202474","3987.1056315104147","2.069111029307047","0.4235137899716694"
"Fricke MFB 512","0.141496598639456","13.96497631073","6.42868733159101","0.0746947526931763","1437.83325195312","1181.72033691406","2685.54077148438","2.37808918952942","0.785871267318726"
"Fricke_MFB_301","0.5021315192743765","6.352301120758055","-4.19762510442059","0.24115589261054998","1186.9255981445299","1019.87579345703","4904.1142578125","1.089475214481355","0.7990847826004025"
"Fricke_MFB_712","0.173424036281179","15.0440120697021","6.01494836034121","0.0897037908434868","1939.57897949219","1438.07080078125","3469.16381835938","3.26032590866089","0.698803603649139"
"GEM_Drum15","0.072562358276644","5.04302287101746","2.72695536045831","0.0396603625267744","3644.831298828125","3586.5157470703152","4546.75048828125","1.1271844506263702","0.534200996160507"
"Gulbransen","0.26521541950113403","13.21612071990965","3.72787251101321","0.13284895569086067","3237.9361572265652","3021.31640625","3488.5496826171902","7.28932452201843","0.432997688651085"
"Hammond Auto-Vari 64","0.12124510410224697","5.014538158069959","0.8214070197917921","0.0634784224358472","2804.7797407670464","2658.2898615056833","4982.035511363636","1.3662271933122108","0.6745672605254432"
"Hammond Rhythm","0.153469387755102","5.91008996963501","0.4957166833430125","0.08027841150760656","4176.0771484375","4153.391235351565","4141.185913085935","1.9285094141960148","0.4054337441921235"
"Hammond Rhythm II","0.1532879818594105","6.566667437553405","1.1607916746616986","0.08021306525915863","4285.83837890625","4282.067626953125","4257.3433532714835","1.9829090982675561","0.3871817290782929"
"Hing-Hon EK001","0.227845804988662","17.0014228820801","5.62249097466941","0.11720534414053","3732.38793945312","3701.66967773438","3803.68603515625","2.41008067131042","0.190250530838966"
"Hohner Automatic","0.0761904761904762","4.9388817548751796","1.70663077772546","0.040957054123282405","2599.961975097655","2366.6190185546848","4014.08349609375","3.42249917984009","0.6670696288347244"
"Hohner-Rhythm 80","0.136417233560091","6.74751281738281","1.89846612198101","0.0741538181900978","3922.60034179688","3661.17724609375","3245.330078125","3.24586772918701","0.495228826999664"
