Index,Drum Machine,Duration,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Centroid 1,Spectral Centroid 2,Spectral Kurtosis,Pitch Salience
110,Alesis D4 fx,0.841723356,16.73056412,-0.156892819,0.408266932,2611.508057,2271.353271,2394.753662,0.367664456,0.186482221
111,Alesis D4 fx,0.849705215,13.62792397,-1.52744702,0.398471862,2850.772705,2951.164063,1665.987305,0.453313082,0.197760433
112,Alesis D4 fx,1.622494331,15.87860394,-3.345811434,0.703287065,2230.200928,2939.498291,1478.825806,-0.025815092,0.372478664
113,Alesis D4 fx,0.439727891,21.72759247,4.374734989,0.219421759,3384.863525,3589.282959,2782.773438,2.376977921,0.108455487
114,Alesis D4 fx,0.175600907,9.236639977,2.84110433,0.089789875,3438.893311,3430.557861,2253.912109,3.198417664,0.26681301
115,Alesis D4 fx,0.928072562,20.87246513,0.859449909,0.431744307,2959.889893,3254.75708,2012.60376,3.49218297,0.131853774
116,Alesis D4 fx,0.726349206,17.4119606,0.742108626,0.352418989,2525.360352,2960.220703,1574.581055,1.564332724,0.331491172
117,Alesis D4 fx,0.1661678,21.81671143,8.646810376,0.086525597,3900.769043,3873.542725,3941.700684,1.204302788,0.272143096
118,Alesis D4 fx,0.493424036,19.68279076,3.228764442,0.241245791,3715.538574,3782.452637,2894.049805,3.879257917,0.119931094
119,Alesis D4 fx,0.595736961,21.64618492,3.02389842,0.291572899,2875.455322,3033.434814,2461.410645,2.918624878,0.089275293
120,Alesis D4 fx,0.701678005,18.27795601,1.215802709,0.346408635,2768.588623,2737.818359,2019.063843,1.564136624,0.192551762
216,Alesis DM5,0.476734694,6.02055645,-4.312951041,0.229180217,2463.592773,2225.302246,2057.744629,3.78334856,0.21729897
217,Alesis DM5,0.237278912,8.860081673,1.22171921,0.12001384,1656.327881,1602.135986,971.7052612,6.493775368,0.571922898
218,Alesis DM5,0.491247166,25.28886986,4.859692961,0.243558869,3106.078125,2827.579346,3092.117188,2.246307135,0.162898183
219,Alesis DM5,0.28154195,10.24644184,1.421198156,0.141083732,713.343689,511.3480225,1961.927979,1.818716407,0.898180544
220,Alesis DM5,0.61968254,7.535917282,-3.996659492,0.29261896,715.6881104,505.9570923,1317.666504,2.420975924,0.618869781
221,Alesis DM5,1.109478458,17.20773506,-1.174102834,0.499191105,1491.865356,1331.8573,1191.570068,2.687978268,0.353912354
222,Alesis DM5,0.919365079,18.05775452,-0.045255595,0.422271907,1333.901489,1388.712524,1114.597046,2.572766781,0.561981022
223,Alesis DM5,0.335238095,29.14591789,7.439284187,0.173818916,2854.101807,2474.086182,2801.096924,1.923862219,0.439398319
224,Alesis DM5,0.313469388,10.67071724,1.217670657,0.154829606,1229.940552,1086.109497,1906.167236,1.499361634,0.766686022
225,Alesis DM5,0.341043084,11.31565952,1.231921586,0.171517223,1870.133789,1243.761963,2304.668945,1.602367043,0.633635223
226,Alesis DM5,1.365623583,13.50556946,-3.646534273,0.589002728,2906.907471,2876.981201,1243.714478,5.499555588,0.151474565
227,Alesis DM5,0.648707483,10.61486435,-1.974884529,0.30572328,1780.116943,1288.91272,2800.700684,1.619062662,0.557095587
228,Alesis DM5,0.446258503,12.9979105,0.962561716,0.217078418,1244.911987,1186.10022,1614.808838,2.765860796,0.583259642
229,Alesis DM5,0.208979592,8.125986099,1.212649756,0.106021367,1727.467651,1728.883423,1685.515137,2.561660528,0.607760906
230,Alesis DM5,0.526077098,5.787528515,-4.996550308,0.252585709,2264.317871,2324.070313,1483.463379,5.456562996,0.21938768
231,Alesis DM5,0.164716553,6.511499882,0.81056961,0.085502386,2756.250488,2693.244873,2488.907227,2.006765604,0.44871363
232,Alesis DM5,0.444081633,9.801231384,-0.845945064,0.21672143,2229.408691,1955.515869,951.2288818,2.348745108,0.441402614
233,Alesis DM5,0.241632653,15.16910648,4.628161747,0.122828111,3376.687256,3287.692139,3622.03833,3.258679867,0.307850748
234,Alesis DM5,0.269931973,9.090146065,0.827933541,0.134953499,1253.495239,767.5806274,4040.999512,0.709079385,0.777985334
235,Alesis DM5,0.343945578,10.01955032,0.406585136,0.169709086,1533.18689,1289.949829,1898.486084,1.233315825,0.710698068
236,Alesis DM5,0.428117914,10.88846684,-0.005069297,0.211224526,1610.960815,1782.25354,1496.554932,2.683793783,0.506166756
237,Alesis DM5,0.565260771,12.57353783,-0.279226297,0.270362973,1026.168335,890.9797363,1642.702515,4.03196764,0.724482536
238,Alesis DM5,0.641451247,8.22429657,-3.579997318,0.303766698,1288.597656,1233.294189,1493.863647,3.755923271,0.572128177
