Index,Drum Machine,Duration,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Centroid 1,Spectral Centroid 2,Spectral Kurtosis,Pitch Salience
3394,Yamaha RM 50,0.490521542,1.146081209,-15.18027596,0.237655848,1349.361328,1751.962158,606.8056641,8.568223953,0.783508122
3395,Yamaha RM 50,0.785124717,2.298961639,-12.71580017,0.368266046,1403.358276,1780.678589,1623.996582,3.125302553,0.706623912
3396,Yamaha RM 50,0.734331066,2.554317474,-11.74674076,0.345049381,1674.032593,2127.736084,416.6407471,7.937311172,0.669705033
3397,Yamaha RM 50,0.942585034,1.649527788,-15.65983268,0.444156885,1467.015137,2867.521729,240.1291656,19.5894413,0.497510314
3398,Yamaha RM 50,1.023129252,2.74897337,-12.7068346,0.460461825,2584.951172,2881.465088,1338.213867,6.010637283,0.370466232
3399,Yamaha RM 50,0.319274376,3.009420395,-7.043771032,0.156746224,2923.048096,3034.725342,1671.733887,3.192875862,0.510229468
3400,Yamaha RM 50,0.523174603,2.510213375,-10.37870764,0.251799315,2201.541016,2629.587646,1052.609375,2.836830378,0.603806198
3401,Yamaha RM 50,0.148027211,2.126604557,-5.979119476,0.076742619,1662.179565,1805.293335,772.7156982,3.486363173,0.795384467
3402,Yamaha RM 50,0.288798186,1.023859739,-13.59571675,0.144197538,2005.761597,2079.502197,2743.067871,1.55423367,0.777086616
3403,Yamaha RM 50,0.224943311,2.008860588,-8.165642177,0.113423325,2588.121338,2722.475098,1629.758057,3.156923771,0.723421156
3404,Yamaha RM 50,0.480362812,2.41394639,-10.25572287,0.232911706,1800.927734,2206.371826,716.0952148,4.428554058,0.732978702
3405,Yamaha RM 50,0.273560091,1.389478326,-11.38620195,0.138878882,1492.759277,1579.079224,638.5028076,3.886074543,0.855894864
3406,Yamaha RM 50,0.29170068,2.243765593,-8.566977069,0.144799247,2802.452393,2998.585938,1436.978027,4.550845146,0.620345712
3407,Yamaha RM 50,0.259773243,2.103500843,-8.476884149,0.129778981,2526.506592,2797.361328,1561.482178,4.128771305,0.682759285
3408,Yamaha RM 50,0.259773243,2.752831697,-6.748240498,0.130996302,2367.885986,2630.734619,903.4459839,5.362829208,0.743615329
3409,Yamaha RM 50,0.355555556,1.781632423,-10.92264435,0.175184727,2666.104736,3045.801025,708.5239868,6.491394997,0.565467596
3410,Yamaha RM 50,0.329433107,1.858304977,-10.32755173,0.164565697,2821.233643,3310.443604,1144.370361,2.116163492,0.513095379
3411,Yamaha RM 50,0.323628118,1.858268976,-10.22727846,0.160378426,2821.26123,3244.758545,1195.194702,1.864913702,0.571324825
3412,Yamaha RM 50,0.230022676,2.381453514,-7.14774447,0.116603941,2765.985596,3088.851563,1344.007324,3.855069637,0.666366398
3413,Yamaha RM 50,0.317823129,2.210511684,-9.029334916,0.156972647,2406.804688,2637.033936,1534.021362,4.008729935,0.600347936
3414,Yamaha RM 50,0.229297052,3.318600178,-4.981754763,0.117051989,817.4331055,1017.801331,180.420166,14.64890194,0.943826377
3415,Yamaha RM 50,0.188662132,2.037690878,-7.28688928,0.096731491,317.6632996,356.7055054,181.0181427,27.41352081,0.976810634
3416,Yamaha RM 50,0.190839002,1.693112731,-8.524767496,0.098622411,620.0322876,667.7523804,228.6952972,21.35580254,0.950037956
3417,Yamaha RM 50,0.167619048,3.189621925,-3.855894024,0.086130463,581.6772461,638.9835205,243.8480072,22.06057739,0.954979658
3418,Yamaha RM 50,0.452789116,1.426165938,-13.42098401,0.220548838,251.2709961,286.6920776,248.0588989,20.35649681,0.890638471
3419,Yamaha RM 50,0.819954649,1.533179283,-15.53440499,0.380214274,394.6420593,450.6799927,240.848526,17.21194077,0.727326632
