"Index","Drum Machine","Type","Equal Loudness","RMS","Temporal Centroid","Spectral Centroid","Spectral Centroid 1","Spectral Centroid 2","Spectral Kurtosis","Pitch Salience"
"1070","E-MU Xtreme Lead-1 Techno","sn","0.0861339900496453","0.51236282556277","0.355041854403734","0.525490784786215","0.554210396617284","0.390057281593667","0.0057980883677089","0.121991389852306"
"1071","E-MU Xtreme Lead-1 Techno","sn","0.0689141606804481","0.470788643208431","0.352077789779616","0.537053502071636","0.505901469642498","0.400835815519406","0.00592059725640655","0.23222064522691"
"1072","E-MU Xtreme Lead-1 Techno","sn","0.0862506997642062","0.804031853088212","0.0404758517742744","0.619046731849582","0.626629710999505","0.574273871518329","0.00297554396643786","0.356898449376771"
"1073","E-MU Xtreme Lead-1 Techno","sn","0.0632562599214706","0.455444610955415","0.349711217749172","0.67972134823331","0.763938683670312","0.29942883141026","0.00690620560513146","0.0854483138888859"
"1074","E-MU Xtreme Lead-1 Techno","sn","0.0238003158842702","0.490585426927588","0.0717024031027323","0.363775083864423","0.376067727504186","0.437723233767091","0.00428456631670577","0.151293554359175"
"1075","E-MU Xtreme Lead-1 Techno","sn","0.0211237465016223","0.25900118077939","0.348739257583802","0.299936174521345","0.273427950760425","0.308691918065129","0.00705251866577655","0.178950187054212"
"1076","EKO Rhythm Box","ki","0.0316994785521885","0.526771749505489","0.0813084698759887","0.0223412631414081","0.0291203562019068","0.0156993943059883","0.0545159823078174","0.97314834848868"
"1077","EKO Rhythm Box","sn","0.0474990746543396","0.627705268198984","0.0653779129576782","0.109656829088633","0.105101946120357","0.469296205375894","0.00258423539648148","0.927203931101268"
"1078","Electro Harmonix DRM-16","ki","0.00995779369462014","0.333834479110946","0.082367732908724","0.0104054057201209","0.0104352559139164","0.0605595412901683","0.157443846925228","0.987305861761681"
"1079","Electro Harmonix DRM-16","ki","0.00897917946203968","0.297613604499209","0.0961774709589873","0.00855453229511471","0.00844367302099939","0.0927968058169014","0.139970525683967","0.983260813357023"
"1080","Electro Harmonix DRM-16","ki","0.010276045361485","0.315061263803989","0.0985001152436432","0.0154100811469137","0.016796334157024","0.071586707318763","0.112270930862582","0.97089826103672"
"1081","Electro Harmonix DRM-16","ki","0.0101494944732838","0.31460088249379","0.0974036735352711","0.013893568093581","0.0150403211162579","0.100951007410078","0.104788942073593","0.973919946234239"
"1082","Electro Harmonix DRM-16","ki","0.0106152461790565","0.312366720442573","0.104578593551138","0.0179535275193461","0.0196718302643551","0.0766045153031495","0.0946815423565285","0.958444583484851"
"1083","Electro Harmonix DRM-16","ki","0.0101399491953341","0.316655469076396","0.0956082445058044","0.0139437595711101","0.0150932685853751","0.0761140255561343","0.113016506752446","0.973824011788944"
"1084","Electro Harmonix DRM-16","sn","0.0112662233033337","0.28322757837546","0.137014542388784","0.386080912054171","0.379685688242357","0.43728966841061","0.00493056698533369","0.353380353390705"
"1085","Electro Harmonix DRM-16","sn","0.0107675769793069","0.281601131936618","0.131759967989978","0.392210285516632","0.392925262047203","0.414606577063815","0.00516833684292396","0.382588925601823"
"1086","Electro Harmonix DRM-16","sn","0.0216033828484869","0.498760074671","0.0609797003214807","0.614119628810888","0.703857766558073","0.518326793490663","0.00409148563479702","0.235353317084125"
