Sample Id,Drum Machine,Dimension 1,Dimension 2,Dimension 3,Dimension 4
413,Alesis SR-16,1.76252359,-1.347656668,-1.513766083,-3.053679741
414,Alesis SR-16,0.854593281,-5.565074213,-0.028043708,-2.464528865
415,Alesis SR-16,0.576101457,-2.101747074,-1.612904053,-3.42756718
416,Alesis SR-16,-1.098321263,2.334460147,-3.283401585,-2.793073196
417,Alesis SR-16,1.876786853,-2.838971146,-0.944755387,-2.928693846
418,Alesis SR-16,-2.312817699,0.312038062,-3.271339653,-2.769446552
419,Alesis SR-16,1.930096543,-0.073171199,-2.219440358,-2.681227171
420,Alesis SR-16,2.289959177,0.879573791,-4.100983765,-1.580711405
421,Alesis SR-16,2.341091412,2.000251816,-4.504810736,-2.479470887
422,Alesis SR-16,3.304823161,-11.84591225,4.503955362,-1.122876283
423,Alesis SR-16,-0.732405302,-0.442122995,-3.653412968,-3.121692324
424,Alesis SR-16,1.063022905,-4.197868132,-1.37050063,-3.271233737
425,Alesis SR-16,0.882757629,-0.248891226,-3.208849835,-3.021698591
426,Alesis SR-16,-2.090568424,1.214894829,-3.521096191,-2.987276037
427,Alesis SR-16,-2.254750075,2.385722594,-3.287089405,-1.52102391
428,Alesis SR-16,2.769194637,1.353799839,-5.110345721,0.79738757
429,Alesis SR-16,1.705681423,-0.586904119,-1.901871058,-3.841188731
430,Alesis SR-16,0.423168421,3.235775834,-0.556098334,-1.58399877
431,Alesis SR-16,-2.964061169,1.03632365,-1.887838966,-3.813046606
432,Alesis SR-16,1.571214775,-3.213221693,-0.04638379,-3.527575486
433,Alesis SR-16,1.514496925,-3.036777562,-0.480863777,-2.472281406
434,Alesis SR-16,0.811360353,1.731239803,-4.567794,-2.474342317
435,Alesis SR-16,-1.635217324,0.373309462,-3.886940003,-3.160630815
436,Alesis SR-16,-1.786765855,1.061198862,-3.623917157,-2.111189613
437,Alesis SR-16,2.753298342,0.861074068,-5.144375766,-0.102452781
438,Alesis SR-16,2.46127229,-0.940095828,-2.112382609,-2.7853464
439,Alesis SR-16,0.63541067,3.026715562,-1.873656014,0.494458466
440,Alesis SR-16,1.988240086,-2.919799763,0.112673486,-1.841636106
441,Alesis SR-16,0.550290175,-4.451854357,-0.495781486,-2.31404968
442,Alesis SR-16,-1.598105635,-0.163525997,-1.121108998,-2.995568915
443,Alesis SR-16,2.47798881,-2.965695602,0.660739267,-0.968969345
444,Alesis SR-16,-0.518785872,2.623109543,-3.562002416,-0.886474991
445,Alesis SR-16,0.438709463,-5.520246635,0.292131119,-2.19396858
446,Alesis SR-16,-2.512523128,0.084554907,-2.13546528,-2.344306121
447,Alesis SR-16,0.2755986,0.716631883,-2.519027952,-2.663631004
448,Alesis SR-16,1.285929475,-0.565758092,-2.230972384,-1.90831519
449,Alesis SR-16,0.903998549,0.083905145,-0.679677663,-2.465678538
450,Alesis SR-16,1.042397298,-1.108020726,-1.342201191,-2.375979035
451,Alesis SR-16,1.859428077,0.132574639,-0.393825967,-3.131284304
452,Alesis SR-16,1.601349324,-1.511519589,-2.736955383,-2.619625795
453,Alesis SR-16,2.40860713,1.013214827,-4.978922747,0.13043102
454,Alesis SR-16,4.261030597,2.516252799,-5.615933561,1.634442043
455,Alesis SR-16,2.182350661,-0.562388818,-0.76264709,-3.779591381
456,Alesis SR-16,0.228710725,2.96339704,-1.728447622,-1.821350598
457,Alesis SR-16,-2.498730492,-0.15005376,-2.647863009,-2.832588879
458,Alesis SR-16,1.908345918,-3.115652579,-0.582165661,-3.207003899
459,Alesis SR-16,0.001474512,-4.902117242,0.223505761,-1.998271146
460,Alesis SR-16,6.019167065,1.493706974,-6.475987267,2.000587623
461,Alesis SR-16,-0.88449762,3.081373822,-1.829534531,-0.690532522
462,Alesis SR-16,-2.43379709,1.322155106,-3.724588742,-2.707279193
463,Alesis SR-16,-2.680394045,2.740945414,-2.905678531,-0.403058024
464,Alesis SR-16,1.143868859,-2.018530633,-0.947863525,-2.701585437
465,Alesis SR-16,-1.826584939,0.791308566,-1.597280222,-3.973106346
466,Alesis SR-16,3.270785485,-0.216727959,-4.425415909,-1.95191255
467,Alesis SR-16,2.099992509,-2.33326336,0.363217731,-2.974416771
468,Alesis SR-16,3.533934043,1.513955183,-4.253615576,-2.032332651
469,Alesis SR-16,-0.939432177,-0.825469219,-2.849703754,-1.742101794
470,Alesis SR-16,-0.49256268,2.610517886,-3.71646908,-1.840655704
484,Alesis SR-16,2.110706665,-0.544705197,-0.985762695,-3.749303748
485,Alesis SR-16,-2.679074086,2.845807384,-2.762076564,-0.127413266
486,Alesis SR-16,0.333528322,0.620512194,-2.459467,-2.248095493
487,Alesis SR-16,2.554915789,-0.426200564,-4.025622064,-1.793789153
488,Alesis SR-16,0.883671089,0.400917927,-3.710208175,-2.042339732
489,Alesis SR-16,-2.607119552,-0.152103908,-2.442639893,-2.397098756
490,Alesis SR-16,-0.126540166,3.760315786,-0.14482682,-0.793028064
491,Alesis SR-16,0.309974766,1.237433556,-4.494148138,-0.245588295
492,Alesis SR-16,-1.68551921,2.474169158,-2.449084782,-1.274011559
493,Alesis SR-16,0.65690213,-3.086329004,-0.888705796,-2.981082672
494,Alesis SR-16,1.245559904,-3.35541001,-0.069981996,-3.361017863
495,Alesis SR-16,-0.571185163,-6.52925559,2.428571575,-0.434852024
500,ARP Axxe,16.37785724,2.520647967,-11.22209677,10.92493068
501,ARP Axxe,14.30253693,2.561217599,-10.44738048,7.580887124
502,ARP Axxe,1.79480014,3.880180123,-2.994341231,0.810605195
504,Boss DR-110 Dr. Rhythm,-4.005429026,3.393392099,3.684460515,2.885655815
507,Boss DR-110 Dr. Rhythm,-4.005429026,3.393392099,3.684460515,2.885655817
509,Boss DR-110 Dr. Rhythm,0.885641399,0.353405759,3.095076007,-0.215642983
511,Boss DR-110 Dr. Rhythm,-0.992695811,3.220551086,0.786763195,-3.541444343
543,Boss DR-202 Dr. Groove,-1.521274204,2.179948687,1.73944392,0.081864257
544,Boss DR-202 Dr. Groove,3.281100385,-1.944559099,1.859552335,2.42666174
545,Boss DR-202 Dr. Groove,-2.96190228,2.393598036,1.250183502,0.568079634
546,Boss DR-202 Dr. Groove,6.17504454,-8.273784738,1.978139875,-1.597927888
547,Boss DR-202 Dr. Groove,4.176025738,-12.82604039,2.078096037,2.801635698
548,Boss DR-202 Dr. Groove,4.324058329,-13.2256554,4.980117738,0.760550723
549,Boss DR-202 Dr. Groove,3.161198102,3.798818918,4.458285817,-0.406372471
550,Boss DR-202 Dr. Groove,4.468693557,-2.609528207,0.281654901,0.38011024
551,Boss DR-202 Dr. Groove,3.787423556,-3.093287756,-0.728818991,1.874568119
552,Boss DR-202 Dr. Groove,3.173285495,1.137584675,-6.308889851,3.327773118
553,Boss DR-202 Dr. Groove,5.582995526,-3.90359356,-6.889489712,9.802251322
554,Boss DR-202 Dr. Groove,2.591241497,-8.175571859,3.002125951,-1.332635507
555,Boss DR-202 Dr. Groove,10.04703933,-2.135852601,-0.47598122,1.346942762
556,Boss DR-202 Dr. Groove,8.171863228,-1.170647031,-4.3988855,2.178685538
557,Boss DR-202 Dr. Groove,3.5540307,2.055319128,-3.497557128,0.595431225
558,Boss DR-202 Dr. Groove,4.22336784,1.265538643,-5.213865495,1.699029336
559,Boss DR-202 Dr. Groove,1.192471237,-3.137461689,3.001684343,1.160495504
560,Boss DR-202 Dr. Groove,1.218040003,-0.738319818,-2.583186041,-0.251965019
561,Boss DR-202 Dr. Groove,2.726557813,3.39523117,1.916252856,7.381859708
562,Boss DR-202 Dr. Groove,15.33639543,-4.358110249,-8.799985961,5.65770548
563,Boss DR-202 Dr. Groove,3.420495415,0.007393267,-6.339231183,3.562876902
564,Boss DR-202 Dr. Groove,1.581570515,-1.900741088,2.976849926,3.816333849
565,Boss DR-202 Dr. Groove,2.813134814,-6.42904164,3.24697008,-1.684115203
566,Boss DR-202 Dr. Groove,2.973977049,-8.679990163,4.225515697,0.146323854
567,Boss DR-202 Dr. Groove,10.8512278,-5.125901214,-4.586079261,4.984986328
568,Boss DR-202 Dr. Groove,6.769413716,3.03728527,-4.65139444,2.713869701
569,Boss DR-202 Dr. Groove,4.786575503,-3.180107204,-3.945370093,0.144719822
570,Boss DR-202 Dr. Groove,-1.858783377,-2.027775851,0.778332772,-2.603306074
571,Boss DR-202 Dr. Groove,1.112042523,1.036142388,-4.841751099,0.190469323
572,Boss DR-202 Dr. Groove,2.352748155,4.808928005,-1.849460435,1.559228377
573,Boss DR-202 Dr. Groove,-0.93496179,3.02294376,2.551550878,3.882167809
574,Boss DR-202 Dr. Groove,0.34470666,-2.514767881,-0.067516376,0.128396512
575,Boss DR-202 Dr. Groove,-2.583963734,-4.659268082,0.772961502,4.911982931
576,Boss DR-202 Dr. Groove,1.918293489,4.746564033,-2.583894393,1.833094667
577,Boss DR-202 Dr. Groove,-2.83224584,2.867492818,-1.020648271,-1.389227271
578,Boss DR-202 Dr. Groove,2.963816324,4.423613068,1.291286972,1.478012281
579,Boss DR-202 Dr. Groove,-0.51142453,-2.189071324,-0.513064552,-0.594084072
580,Boss DR-202 Dr. Groove,-0.955072669,2.020130947,-1.843975235,-0.723112954
581,Boss DR-202 Dr. Groove,2.328292269,2.679880773,-2.682427252,-0.318292137
582,Boss DR-202 Dr. Groove,-0.155928198,-5.523414421,0.231130517,3.56796349
583,Boss DR-202 Dr. Groove,-1.630141926,-0.925666308,-1.733266532,0.742251787
584,Boss DR-202 Dr. Groove,-0.524995044,-4.113071246,0.190317163,-1.575059329
585,Boss DR-202 Dr. Groove,0.291094232,3.29145757,-3.426948863,1.653017226
586,Boss DR-202 Dr. Groove,1.553463565,3.865598669,-5.415891686,2.820263672
587,Boss DR-202 Dr. Groove,-2.402072514,-2.477356357,-0.847683946,0.670996244
588,Boss DR-202 Dr. Groove,1.400639722,5.640267434,-0.555422593,1.27330348
589,Boss DR-202 Dr. Groove,-0.902147765,2.468920705,-0.676155512,-1.262374417
590,Boss DR-202 Dr. Groove,-0.675712279,-0.961801175,-2.780465971,-0.040214576
592,Boss DR-220,-1.490745817,3.896368403,-4.179863541,-1.331997437
594,Boss DR-220A,-2.586979647,-1.677945366,0.486204998,-1.311432945
596,Boss DR-220E,9.272017511,-8.229618289,4.063371239,3.306519132
600,Boss DR-55,-5.180311906,1.680606047,5.757888671,5.875690865
601,Boss DR-55,-3.1946125,1.820378053,2.93959509,1.36416032
602,Boss DR-55,-3.590823395,3.59683996,3.493941021,2.018833161
603,Boss DR-55,-3.096420603,3.822935513,3.112582476,0.932012605
604,Boss DR-55,-2.979098994,3.747396014,2.99297838,0.53272422
605,Boss DR-55,-2.373004703,3.226783134,2.893858041,-0.263978894
606,Boss DR-55,-2.633502836,6.85800307,3.030779001,0.9316839
607,Boss DR-55,-3.458545449,1.686616937,1.857135145,0.287811633
608,Boss DR-55,2.00275205,6.350598949,1.449340957,-2.978228218
617,Boss DR-55,-3.878831051,3.612516325,3.442099878,2.199808905
618,Boss DR-55,-3.835000188,3.366725057,3.836631627,2.427797912
619,Boss DR-55,-4.028181759,3.99860229,3.375116105,2.200750827
620,Boss DR-55,-3.941701251,3.819977907,3.380422942,1.687768226
621,Boss DR-55,-4.255816332,3.746409303,3.142160517,1.703119079
622,Boss DR-55,-4.163863355,3.691859168,4.018372519,1.763822625
623,Boss DR-55,-3.429786293,3.989839843,2.945631045,0.876385769
624,Boss DR-55,-3.088669236,3.772254948,2.929642868,0.483664579
625,Boss DR-55,-2.363977581,3.210959113,2.858383014,-0.271672035
626,Boss DR-55,-2.553729146,6.852653681,2.95352389,0.895243886
627,Boss DR-55,0.674649358,5.998750527,0.55263997,-2.745536279
628,Boss DR-55,-4.04924496,2.163681673,1.679879367,0.322468195
634,Boss DR-550,0.368862821,3.888072046,2.677795483,0.761463851
635,Boss DR-550,3.414917374,1.113838631,-1.700454361,1.694763342
636,Boss DR-550,2.107408729,0.323749308,2.576328514,-0.312256647
637,Boss DR-550,-0.503264349,-2.47094802,4.572155903,-0.428008261
638,Boss DR-550,1.221208669,1.004792218,0.422159936,-0.205890307
639,Boss DR-550,1.895152085,0.355599142,-1.802447737,2.350647629
644,Boss DR-550MK2,-1.365242023,5.035579491,3.671346777,3.884440281
645,Boss DR-550MK2,-3.012044807,2.517241107,-1.287511928,0.35604558
646,Boss DR-550MK2,-0.345507999,2.379100512,-2.015804411,-0.21470977
647,Boss DR-550MK2,1.048145258,1.474894667,-2.604952341,1.481555408
648,Boss DR-550MK2,2.350233594,-0.142795171,-0.40773726,0.286619167
