"Window Length","Window Start","HFC"
"25","100","222.596298217773"
"100","20","249.958297729492"
"100","50","217.294387817383"
"100","100","120.651023864746"
"250","20","109.454895019531"
"250","50","95.1524810791016"
"250","100","52.8370780944824"
"500","20","73.5686187744141"
"500","50","64.925178527832"
"500","100","38.3830490112305"
"0","0","150.82275390625"
"25","20","429.503082275391"
"25","50","345.617553710938"
"25","100","238.50373840332"
"100","20","321.163330078125"
"100","50","278.558380126953"
"100","100","181.761947631836"
"250","20","160.738784790039"
"250","50","138.719482421875"
"250","100","88.0133590698242"
"500","20","136.587921142578"
"500","50","120.118324279785"
"500","100","84.2682723999023"
"0","0","271.699401855469"
"25","20","991.085632324219"
"25","50","752.068603515625"
"25","100","436.55908203125"
"100","20","667.523071289062"
"100","50","573.634460449219"
"100","100","414.625335693359"
"250","20","413.942413330078"
"250","50","368.448272705078"
"250","100","281.471038818359"
"500","20","262.373382568359"
"500","50","237.294204711914"
"500","100","188.133819580078"
"0","0","31.8970832824707"
"25","20","197.055709838867"
"25","50","163.452743530273"
"25","100","158.633590698242"
"100","20","138.160278320312"
"100","50","119.905570983887"
"100","100","98.7250061035156"
"250","20","68.8014144897461"
"250","50","60.7423439025879"
"250","100","50.4230918884277"
"500","20","35.8639907836914"
"500","50","31.7060737609863"
"500","100","26.3323993682861"
"0","0","16.2212982177734"
"25","20","117.391777038574"
"25","50","95.732307434082"
"25","100","56.6607551574707"
"100","20","56.151496887207"
"100","50","47.2496681213379"
"100","100","29.2381038665771"
"250","20","24.3703155517578"
"250","50","20.5431327819824"
"250","100","12.7969703674316"
"500","20","14.4385709762573"
"500","50","12.334002494812"
"500","100","7.89475536346436"
"0","0","111.414833068848"
"25","20","264.951324462891"
"25","50","197.487121582031"
"25","100","101.47435760498"
"100","20","107.527053833008"
"100","50","80.9554977416992"
"100","100","43.1629180908203"
"250","20","102.151214599609"
"250","50","76.9080963134766"
"250","100","43.1629180908203"
"500","20","102.151214599609"
"500","50","76.9080963134766"
"500","100","43.1629180908203"
"0","0","25.1160144805908"
"25","20","132.949157714844"
"25","50","100.241020202637"
"25","100","58.8001365661621"
"100","20","67.1318511962891"
"100","50","55.4637565612793"
"100","100","39.5440979003906"
"250","20","31.2094745635986"
"250","50","26.0466690063477"
"250","100","18.8539028167725"
"500","20","22.6798934936523"
"500","50","18.9295864105225"
"500","100","14.1566009521484"
"0","0","20.9351673126221"
"25","20","145.733993530273"
"25","50","103.497489929199"
"25","100","72.0427322387695"
"100","20","84.2051773071289"
"100","50","67.5331039428711"
"100","100","53.5708923339844"
"250","20","39.8914642333984"
"250","50","32.5993309020996"
