Index,Drum Machine,Type,Duration,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
511,Boss DR-110 Dr. Rhythm,sn,-0.448275862,-0.368539798,-0.11434861,-0.429237328,0.423321345,0.135816123,0.134922863
512,Boss DR-202 Dr. Groove,ki,5.636363636,0.404159922,-0.803594539,4.63929551,-0.239247265,3.256895032,-1.09281695
513,Boss DR-202 Dr. Groove,ki,0.267813268,0.003256129,-0.157220876,0.249870272,0.178963695,2.062150827,0.164380547
514,Boss DR-202 Dr. Groove,ki,-0.776412776,-0.16575422,0.622661996,-0.81749936,-0.167858897,2.499412415,0.604383216
515,Boss DR-202 Dr. Groove,ki,-0.164619165,1.632048277,0.94781186,-0.164499955,-0.330353836,6.280547069,0.522218452
516,Boss DR-202 Dr. Groove,ki,-0.297297297,1.162301238,0.868495605,-0.302825131,-0.27582499,1.684692346,0.476102021
517,Boss DR-202 Dr. Groove,ki,-0.14004914,1.211147694,0.776019903,-0.144223894,-0.255464232,3.019271491,0.425510012
518,Boss DR-202 Dr. Groove,ki,0.265356265,-0.013103971,-0.171801034,0.250717791,0.045710122,-0.05114483,0.34044094
519,Boss DR-202 Dr. Groove,ki,-0.076167076,0.430043318,0.344107361,-0.071909445,-0.192205617,0.807743712,0.489173726
520,Boss DR-202 Dr. Groove,ki,0.42014742,0.407073977,0.08637815,0.420758915,-0.289984361,2.551551479,0.360521692
521,Boss DR-202 Dr. Groove,ki,0.847665848,0.222032165,-0.192471368,0.830288344,-0.134766956,2.901099235,0.292596597
522,Boss DR-202 Dr. Groove,ki,0.100737101,0.366544795,0.204765356,0.132605635,0.359232979,0.344763081,0.250549697
523,Boss DR-202 Dr. Groove,ki,0.007371007,1.059409447,0.623498561,0.009860988,-0.261961933,-0.036803123,0.440179761
524,Boss DR-202 Dr. Groove,ki,0.002457002,0,-0.027272597,0.033640089,-0.284509648,3.563930739,0.523639404
525,Boss DR-202 Dr. Groove,ki,-0.363636364,0.226898173,0.414758969,-0.369496675,-0.328532917,2.046292806,0.569201158
526,Boss DR-202 Dr. Groove,ki,0.081081081,0.077546118,-0.001381912,0.083923141,0.11515573,0.849802713,0.376464184
527,Boss DR-202 Dr. Groove,ki,0.601965602,-0.182808034,-0.481039769,0.585883679,-0.331545799,4.001074001,0.358262083
528,Boss DR-202 Dr. Groove,ki,-0.152334152,1.367346339,0.845541443,-0.138946815,-0.194806424,0.052401241,0.459756012
529,Boss DR-202 Dr. Groove,ki,-0.464373464,1.364754202,1.098723352,-0.452374741,-0.069714342,-0.039380172,0.372322341
530,Boss DR-202 Dr. Groove,ki,-0.464373464,1.059814181,0.975952257,-0.486073033,0.415639622,8.889200122,-1.239814867
531,Boss DR-202 Dr. Groove,ki,-0.520884521,0.58350172,0.801356402,-0.54084761,-0.316326867,4.546789207,0.573997188
532,Boss DR-202 Dr. Groove,ki,-0.262899263,0.315016375,0.396485371,-0.280560707,0.718476801,2.194743464,-0.274666248
533,Boss DR-202 Dr. Groove,ki,-0.282555283,0.623221288,0.60161839,-0.279677235,0.03034326,-0.237560781,0.324510886
534,Boss DR-202 Dr. Groove,ki,0.211302211,2.109858881,0.884489493,0.205197395,-0.085436229,2.288733422,0.0019731
535,Boss DR-202 Dr. Groove,ki,-0.503685504,1.035349618,1.007476155,-0.488503911,0.854261079,-0.216602723,0.038749195
536,Boss DR-202 Dr. Groove,ki,-0.022113022,0.288868318,0.218364634,-0.011396195,-0.06431861,-0.134944803,0.439678211
537,Boss DR-202 Dr. Groove,ki,1.071253071,3.929294921,0.984193112,1.192113499,0.00657842,-0.184945771,0.314656141
538,Boss DR-202 Dr. Groove,ki,-0.004914005,0.509381526,0.35002025,0.005268695,1.099812155,-0.304534622,-0.469898532
539,Boss DR-202 Dr. Groove,ki,-0.395577396,0.918393653,0.846354294,-0.383096096,-0.102251416,0.864854781,0.261481752
540,Boss DR-202 Dr. Groove,ki,0.304668305,0.761276872,0.336746234,0.309184099,-0.319978744,7.461943197,0.271556176
541,Boss DR-202 Dr. Groove,ki,-0.250614251,0.406911119,0.44805216,-0.247107212,-0.148341329,1.489670865,0.334182637
542,Boss DR-202 Dr. Groove,ki,0.30958231,0.643197993,0.272190986,0.304757656,-0.304887918,2.722422662,0.285922339
543,Boss DR-202 Dr. Groove,sn,-0.739811912,-0.221190172,0.488658894,-0.754792925,0.456722651,0.658100634,-0.010370086
544,Boss DR-202 Dr. Groove,sn,-0.379310345,0.838709981,0.945377434,-0.363430347,0.152948319,0.646901965,-0.098322397
545,Boss DR-202 Dr. Groove,sn,0.040752351,-0.332813634,-0.467943457,0.031611613,0.162891428,-0.765748505,0.276944941
546,Boss DR-202 Dr. Groove,sn,0.059561129,2.577309676,1.366304522,0.082747921,-0.343272,-0.624511931,0.569489773
547,Boss DR-202 Dr. Groove,sn,-0.448275862,2.833575178,1.870696382,-0.437060426,-1.42656516,-0.220303838,1.16497127
