Index,Drum Machine,Type,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Centroid 1,Spectral Centroid 2,Spectral Kurtosis,Pitch Salience
775,Boss DR-660,sn,0.030831223,0.356372026,0.283012133,0.583184951,0.628223894,0.497789183,0.002541084,0.167765158
783,Casio CT-310 Casiotone,ki,0.018220933,0.541223384,0.032105447,0.016434023,0.018390949,0.00935435,0.137037893,0.997186423
784,Casio CT-310 Casiotone,sn,0.016663387,0.541490304,0.027780636,0.130456219,0.107838068,0.471888783,0.002986704,0.951057631
785,Casio MT-100,ki,0.015245311,0.482875088,0.039998061,0.058220279,0.064438772,0.029022009,0.034703617,0.973490615
786,Casio MT-100,sn,0.018432991,0.531560633,0.035160821,0.29394799,0.258725877,0.54971163,0.003736178,0.732061278
787,Casio MT-18,ki,0.018422735,0.489128095,0.050178143,0.034772765,0.036909396,0.032528669,0.041374462,0.979822038
788,Casio MT-18,ki,0.004968094,0.299473607,0.048271572,0.036473025,0.038576622,0.033069429,0.042173083,0.978483265
789,Casio MT-18,sn,0.013222808,0.416858266,0.056887418,0.116818138,0.112272832,0.435834787,0.003670192,0.853010067
790,Casio MT-500,ki,0.015659936,0.553057938,0.027280776,0.104161995,0.121981156,0.077969651,0.011904892,0.980728356
791,Casio MT-500,sn,0.055221323,0.728770874,0.037512684,0.226693376,0.251099286,0.245184613,0.001488967,0.916473638
792,Casio MT-800,ki,0.021105515,0.500091061,0.055306307,0.038338569,0.043334603,0.020729753,0.068603615,0.973149972
793,Casio MT-800,sn,0.041250151,0.626945011,0.051638082,0.214809083,0.161050186,0.499478683,0.003635217,0.835507278
794,Casio PT-1,sn,0.038740713,0.575582849,0.074016846,0.626805113,0.680590816,0.53974641,0.001899377,0.19518044
795,Casio PT-30,ki,0.024787936,0.528498608,0.056198778,0.040351274,0.046917935,0.028437453,0.045436646,0.964579266
796,Casio PT-30,ki,0.025082606,0.52111002,0.060102868,0.140956456,0.166287262,0.03743744,0.018773922,0.872581943
797,Casio PT-30,ki,0.024613828,0.518397736,0.059751916,0.150141411,0.176575463,0.041436023,0.012056974,0.879646866
798,Casio PT-30,sn,0.036975005,0.562739849,0.074695533,0.296840768,0.298728324,0.456878201,0.006004315,0.676140552
799,Casio PT-30,sn,0.03163193,0.533485104,0.075431364,0.290976223,0.295179678,0.456577611,0.005878041,0.705380447
800,Casio PT-30,sn,0.035817694,0.605040283,0.05061956,0.32074293,0.330355431,0.441300355,0.005970958,0.647455841
801,Casio PT-30,sn,0.032126224,0.601207562,0.04445479,0.298388132,0.303848775,0.428827672,0.005757893,0.662045746
802,Casio PT-30,sn,0.032901336,0.572373159,0.058421691,0.289179504,0.293699271,0.43951899,0.005816942,0.688386122
803,Casio PT-68,ki,0.017869377,0.49667293,0.045080619,0.058577764,0.065068899,0.023495636,0.030480349,0.96096611
804,Casio PT-68,sn,0.040381938,0.627376666,0.05001834,0.307590073,0.279326429,0.604283605,0.003069791,0.748989335
805,Casio PT-82,ki,0.013046764,0.520076476,0.023199464,0.2018119,0.22215998,0.141830183,0.004828481,0.936252311
806,Casio PT-82,ki,0.014416684,0.545181375,0.021103616,0.196890826,0.215436154,0.158605533,0.004800435,0.939154577
807,Casio PT-82,sn,0.012092293,0.396020688,0.060869899,0.494799886,0.525594853,0.516447609,0.002200336,0.402682601
808,Casio PT-82,sn,0.017763844,0.559009193,0.02617484,0.328479933,0.361663655,0.244416474,0.002940746,0.720583558
809,Casio Rapman,ki,0.039721245,0.734796502,0.019026851,0.369755614,0.409391423,0.082358346,0.004287323,0.796843448
810,Casio Rapman,sn,0.091137068,0.725392591,0.077502306,0.419411736,0.432384384,0.499166696,0.00184116,0.498895794
811,Casio RZ-1 Rhythm Composer,ki,0.024632388,0.533006482,0.054750914,0.156177197,0.185195605,0.119696245,0.010030439,0.807962287
812,Casio RZ-1 Rhythm Composer,sn,0.069809636,0.690473578,0.072352313,0.330381278,0.397558743,0.249247894,0.002158505,0.722285707
813,Casio RZ-1 Rhythm Composer,ki,0.14114586,0.795647137,0.093467778,0.411556362,0.546727222,0.340217339,0.001917685,0.635506506
814,Casio RZ-1 Rhythm Composer,sn,0.137807935,0.772481565,0.106415364,0.402139345,0.534226366,0.338320078,0.002765739,0.65742659
815,Casio SK-1,ki,0.028326883,0.70770613,0.013581813,0.173948226,0.19214308,0.104871086,0.010100447,0.986963596
816,Casio SK-1,sn,0.029294544,0.623761477,0.031269329,0.450677927,0.493802064,0.406215717,0.004233302,0.465360272
817,Casio VL-1 VL-Tone Keyboard Calculator,ki,0.045451054,0.81349144,0.011658711,0.334906808,0.367519011,0.287193315,0.006509065,0.954776652
818,Casio VL-1 VL-Tone Keyboard Calculator,sn,0.046916736,0.618413199,0.069646329,0.668011063,0.733133044,0.566275121,0.003179915,0.187996193
819,Casio VL-1 VL-Tone Keyboard Calculator,sn,0.043695478,0.605463056,0.069767384,0.668142952,0.736384416,0.567585733,0.003189154,0.186809395
820,Cheetah MD-16,ki,0.045200272,0.539301655,0.120089979,0.450342669,0.543392465,0.339400823,0.002310158,0.589146935
821,Cheetah MD-16,ki,0.032828595,0.646501302,0.031299092,0.323894013,0.363756543,0.114095583,0.007383128,0.760557555
822,Cheetah MD-16,ki,0.052916629,0.755543289,0.026280749,0.363920594,0.457383556,0.019815366,0.007109633,0.826171657
823,Cheetah MD-16,ki,0.050404147,0.658066554,0.054964415,0.420082005,0.56158018,0.02837839,0.007595888,0.675017507
824,Cheetah MD-16,ki,0.041315647,0.586961661,0.074578689,0.372685366,0.576237906,0.024569829,0.008402326,0.753484951
825,Cheetah MD-16,ki,0.0451564,0.594622263,0.077960155,0.450513817,0.543563958,0.352084883,0.002274869,0.593236266
826,Cheetah MD-16,ki,0.032813748,0.646420711,0.031749045,0.323833439,0.365260736,0.101437486,0.007565893,0.760638437
827,Cheetah MD-16,ki,0.053706797,0.757027108,0.027030799,0.363943063,0.466134541,0.019924623,0.006981711,0.826163475
828,Cheetah MD-16,ki,0.048429582,0.650902539,0.055142501,0.42006966,0.564384754,0.02872254,0.007716034,0.675046487
829,Cheetah MD-16,ki,0.042021818,0.595372436,0.071499014,0.372760055,0.57551553,0.025001936,0.008673453,0.753452973
830,Cheetah MD-16,sn,0.135270228,0.709165274,0.159028916,0.500378123,0.467218559,0.362438666,0.00339748,0.153564909
831,Cheetah MD-16,sn,0.113861625,0.707798784,0.127261019,0.432166436,0.333748881,0.449309745,0.003044526,0.475032038
832,Cheetah MD-16,sn,0.072971921,0.65082742,0.104499874,0.449761163,0.242035546,0.501438576,0.002357741,0.662266033
833,Cheetah MD-16,sn,0.046170529,0.618609082,0.066447793,0.440816191,0.458637749,0.521394565,0.003851721,0.439422933
834,Cheetah MD-16,sn,0.052937294,0.667044341,0.055307183,0.429683955,0.470139609,0.480083003,0.003795641,0.476786027
835,Cheetah MD-16,sn,0.077505941,0.6941002,0.08004824,0.415485757,0.361010481,0.589921821,0.002166806,0.638015791
836,Cheetah MD-16,sn,0.13780562,0.712671463,0.159139981,0.500400303,0.462580493,0.362834322,0.003413783,0.153558413
