Drum Machine,Type,Duration,Loudness,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
Akai XR-10,sn,0.113197279,19.42865562,7.030398369,-1.953563278,0.059325423,3498.958496,1.230666518,0.504035652
Akai XR-10,sn,0.355555556,36.69534302,8.486902237,-2.868109413,0.176114172,2166.146729,1.653865099,0.689940095
Akai XR-10,sn,0.557278912,24.64953804,8.627384186,-7.398897342,0.26774168,2690.697266,1.881459117,0.286266088
Alesis D4 fx,ki,0.650884354,47.06882477,6.019451141,-3.873794405,0.306251645,2088.719482,2.3788836,0.544423997
Alesis D4 fx,ki,0.401995465,116.7316818,4.081730366,4.099915086,0.201899588,454.0922241,16.61428833,0.834068477
Alesis D4 fx,sn,0.249614512,72.1306839,24.07544136,3.080279778,0.130062208,2473.551758,4.354966164,0.256552547
Alesis D4 fx,sn,0.61968254,29.87573624,7.546843052,-6.613448541,0.295702487,1757.322144,2.148948669,0.593625307
Alesis D4 fx,sn,0.631292517,33.86415482,10.6097374,-5.881799066,0.303435713,2598.902588,0.99606055,0.2088947
Alesis D4 fx,sn,0.559455782,35.59115219,10.9800806,-5.034734968,0.270239353,2824.595703,0.112485625,0.323540449
Alesis D4 fx,sn,0.75537415,37.36563492,12.73562431,-6.01914768,0.361219972,2552.813721,1.511770487,0.130784452
Alesis D4 fx,sn,0.692970522,38.45210266,12.17876625,-5.463060542,0.330475181,2957.181396,-0.080270186,0.236666545
Alesis D4 fx,sn,1.009342404,30.742342,7.155758381,-8.546792767,0.459346414,2308.483154,0.85294193,0.264309913
Alesis D4 fx,sn,0.953469388,43.18106079,13.73867321,-6.097141183,0.440387815,2923.617432,0.632881224,0.148413494
Alesis D4 fx,sn,0.841723356,47.08925629,16.73056412,-4.994147802,0.408266932,2611.508057,0.367664456,0.186482221
Alesis D4 fx,sn,0.849705215,43.46183777,13.62792397,-5.55474526,0.398471862,2850.772705,0.453313082,0.197760433
