Index,Drum Machine,Type,Duration,Loudness,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
1015,E-MU SP-12,sn,0.367165533,-0.245481216,0.34761175,0.5236506,0.014040058,1.130368446,-0.390221685,-0.679747045
1016,E-MU SP-12,sn,0.208253968,-0.408899494,0.71919753,1.303860481,-0.528839683,1.266366042,-0.367035829,-1.09312674
1017,E-MU SP-12,sn,0.307664399,-0.130583883,1.137312547,1.23833243,-0.174509762,1.022495438,-0.356374621,-1.958532355
1018,E-MU SP-12,sn,0.327981859,-0.299697019,0.291453397,0.567877058,-0.113093902,0.706237512,-0.381119344,-0.79947908
1019,E-MU SP-12,sn,0.409251701,-0.138709341,1.145446314,0.997397797,0.191987993,1.680028783,-0.390038305,-1.95588289
1020,E-MU SP-12,sn,0.364988662,0.050070872,1.570910522,1.319999045,0.03579771,0.81304388,-0.384457376,-1.334509159
1021,E-MU SP-12,sn,0.395464853,0.257882758,1.816692953,1.362780036,0.156192568,0.500154664,-0.379504891,-1.574084568
1022,E-MU SP-12,sn,0.214058957,-0.043436318,0.727631715,1.284245541,-0.495750279,0.911556298,-0.364526412,0.261398459
1023,E-MU SP-12,sn,0.211882086,0.042256383,0.858606538,1.383849899,-0.500435297,0.948073429,-0.365933577,0.129031468
1024,E-MU SP-12,sn,0.296054422,0.537926894,1.399036024,1.408932455,-0.217419875,-0.395046216,-0.391120754,0.82130448
1025,E-MU SP-1200 Percussion,ki,0.082721088,-0.027098166,0.08340753,1.515385186,-0.95438755,-0.808841052,-0.117777998,1.225858027
1026,E-MU SP-1200 Percussion,ki,0.093605442,-0.4317644,-0.267138812,0.944629503,-0.919995908,-0.685496083,-0.336389536,1.142983436
1027,E-MU SP-1200 Percussion,sn,0.132789116,0.367854039,1.507563075,2.150642101,-0.779531045,-0.572145216,-0.373961891,0.914023941
1028,E-MU SP-1200 Percussion,sn,0.132063492,0.032164411,0.796559105,1.739908293,-0.776123388,-0.051269377,-0.395100359,0.88570226
1029,E-MU SP-1200 Percussion,sn,0.159637188,-0.190709844,0.616667519,1.449587144,-0.677456501,0.005333217,-0.357569597,-0.490678014
1030,E-MU Xtreme Lead-1 Techno,ki,0.357006803,1.150290479,0.5213204,0.691183968,-0.034185059,-1.359135195,0.461518918,1.184354066
1031,E-MU Xtreme Lead-1 Techno,ki,0.991927438,2.302305177,0.27859402,-0.38243815,1.932838,-0.925603802,-0.248894469,0.058596584
1032,E-MU Xtreme Lead-1 Techno,ki,0.215510204,0.507095046,0.541357994,1.133764789,-0.504628424,-1.353906579,0.432209578,1.334276828
1033,E-MU Xtreme Lead-1 Techno,ki,0.999183673,2.12306173,-0.291889791,-1.095797519,1.96015958,-1.427443995,-0.112313518,0.562982592
1034,E-MU Xtreme Lead-1 Techno,ki,1.012970522,0.978553465,-0.044219273,-0.751469625,1.978715671,-1.259163826,-0.280382664,0.137702065
1035,E-MU Xtreme Lead-1 Techno,ki,0.227845805,0.50954421,0.655142275,1.173783492,-0.467253955,-1.353118935,0.354317392,1.296198237
1036,E-MU Xtreme Lead-1 Techno,ki,0.304036281,0.860041536,0.151546748,0.488671685,-0.192023031,-1.170580929,-0.0830744,1.254819273
1037,E-MU Xtreme Lead-1 Techno,ki,0.211882086,0.296937976,0.203081519,0.846855605,-0.529292234,-1.268702979,-0.067625883,1.308734469
1038,E-MU Xtreme Lead-1 Techno,ki,1.013696145,1.030476559,0.393861604,-0.296324542,1.989407937,-1.195546347,-0.228715579,-0.257405211
1039,E-MU Xtreme Lead-1 Techno,ki,0.995555556,1.130942013,0.266064636,-0.397474602,1.926652565,-1.397217284,-0.260676291,0.294247331
1040,E-MU Xtreme Lead-1 Techno,ki,0.180680272,0.6662339,-0.174216253,0.530042209,-0.638586017,-1.110799536,0.039542814,1.280901432
1041,E-MU Xtreme Lead-1 Techno,ki,0.105941043,0.688398552,-0.048442838,1.150391834,-0.884434756,-1.363876418,2.194509778,1.409706946
1042,E-MU Xtreme Lead-1 Techno,ki,0.1661678,0.700470383,-0.113708846,0.684998353,-0.686463295,-1.284021386,-0.091723422,1.363180669
1043,E-MU Xtreme Lead-1 Techno,ki,0.124081633,-0.101178329,-0.451008467,0.369203197,-0.841383569,-1.210685728,0.151706195,1.361651313
1044,E-MU Xtreme Lead-1 Techno,ki,1.004263039,-0.022555942,-0.634071614,-1.856026676,1.946344326,-1.357338519,0.394504523,-0.462409572
1045,E-MU Xtreme Lead-1 Techno,ki,0.103038549,0.418221807,-0.733442378,-0.276143862,-0.911215095,-1.298992187,0.248728543,1.39554599
1046,E-MU Xtreme Lead-1 Techno,ki,0.372244898,1.778240214,0.398747581,0.553411878,0.036856739,-1.355048826,-0.205282362,1.210999404
1047,E-MU Xtreme Lead-1 Techno,ki,0.277913832,0.163148803,-0.44111044,-0.2917799,-0.306537519,-1.196577276,0.02145278,1.182433748
1048,E-MU Xtreme Lead-1 Techno,ki,1.002811791,0.911888799,0.279575009,-0.391268623,1.967501511,-1.268290356,-0.258171692,-0.811791823
1049,E-MU Xtreme Lead-1 Techno,ki,1.005714286,0.833921653,0.459225324,-0.233854164,1.956227454,-1.369182493,-0.239036417,-0.518250641
1050,E-MU Xtreme Lead-1 Techno,ki,0.203174603,1.32501706,0.397126653,1.063814786,-0.543753898,-1.316113767,0.166601216,1.310003416
1051,E-MU Xtreme Lead-1 Techno,ki,0.329433107,-0.078510765,0.136569162,0.405046682,-0.123978417,-1.214437035,-0.202903761,0.888174415
1052,E-MU Xtreme Lead-1 Techno,ki,0.337414966,-0.037080516,0.156806046,0.406125341,-0.076534529,-1.191251891,-0.183009765,0.881185254
1053,E-MU Xtreme Lead-1 Techno,ki,0.122630385,0.167832498,-0.273321567,0.706338411,-0.829548601,-1.400813957,3.128249896,1.418289351
